station,date,tobs,precipitation
USC00519397,2010-09-13,78,0.0
USC00519397,2010-09-14,79,0.0
USC00519397,2010-09-15,77,0.0
USC00519397,2010-09-16,79,0.0
USC00519397,2010-09-17,78,0.0
USC00519397,2010-09-19,78,0.0
USC00519397,2010-09-20,78,0.0
USC00519397,2010-09-21,79,0.0
USC00519397,2010-09-22,76,0.04
USC00519397,2010-09-23,78,0.0
USC00519397,2010-09-24,78,0.0
USC00519397,2010-09-25,79,0.0
USC00519397,2010-09-26,74,0.0
USC00519397,2010-09-27,75,0.0
USC00519397,2010-09-28,75,0.0
USC00519397,2010-09-29,78,0.0
USC00519397,2010-09-30,73,0.57
USC00519397,2010-10-01,78,0.31
USC00519397,2010-10-02,78,0.03
USC00519397,2010-10-03,78,0.0
USC00519397,2010-10-04,78,0.06
USC00519397,2010-10-05,80,0.0
USC00519397,2010-10-06,79,0.0
USC00519397,2010-10-07,79,0.0
USC00519397,2010-10-08,78,0.0
USC00519397,2010-10-09,78,0.0
USC00519397,2010-10-10,78,0.0
USC00519397,2010-10-11,77,0.0
USC00519397,2010-10-12,79,0.0
USC00519397,2010-10-13,78,0.0
USC00519397,2010-10-15,78,0.0
USC00519397,2010-10-16,77,0.0
USC00519397,2010-10-17,76,0.0
USC00519397,2010-10-18,76,0.0
USC00519397,2010-10-19,72,0.07
USC00519397,2010-10-20,74,0.0
USC00519397,2010-10-21,80,0.0
USC00519397,2010-10-22,77,0.0
USC00519397,2010-10-23,75,0.0
USC00519397,2010-10-24,78,0.0
USC00519397,2010-10-25,78,0.0
USC00519397,2010-10-26,76,0.07
USC00519397,2010-10-27,79,0.05
USC00519397,2010-10-28,78,0.06
USC00519397,2010-10-29,78,0.03
USC00519397,2010-10-30,77,0.02
USC00519397,2010-10-31,76,0.0
USC00519397,2010-11-01,75,0.01
USC00519397,2010-11-02,73,0.01
USC00519397,2010-11-04,73,0.0
USC00519397,2010-11-05,77,0.0
USC00519397,2010-11-06,76,0.0
USC00519397,2010-11-07,77,0.0
USC00519397,2010-11-08,76,0.0
USC00519397,2010-11-09,73,0.0
USC00519397,2010-11-10,73,0.23
USC00519397,2010-11-11,77,0.0
USC00519397,2010-11-12,77,0.0
USC00519397,2010-11-13,76,0.0
USC00519397,2010-11-16,73,0.0
USC00519397,2010-11-17,73,0.0
USC00519397,2010-11-19,72,0.0
USC00519397,2010-11-20,69,0.03
USC00519397,2010-11-21,69,0.0
USC00519397,2010-11-22,68,0.0
USC00519397,2010-11-23,69,0.0
USC00519397,2010-11-24,76,0.0
USC00519397,2010-11-25,76,0.0
USC00519397,2010-11-27,75,0.0
USC00519397,2010-11-28,74,0.0
USC00519397,2010-11-29,69,0.0
USC00519397,2010-11-30,74,0.0
USC00519397,2010-12-01,76,0.04
USC00519397,2010-12-03,74,0.0
USC00519397,2010-12-04,74,0.0
USC00519397,2010-12-06,64,0.0
USC00519397,2010-12-07,64,0.0
USC00519397,2010-12-08,67,0.0
USC00519397,2010-12-09,77,0.0
USC00519397,2010-12-10,66,1.58
USC00519397,2010-12-11,69,0.77
USC00519397,2010-12-12,68,0.0
USC00519397,2010-12-13,68,0.0
USC00519397,2010-12-14,71,0.0
USC00519397,2010-12-15,74,0.0
USC00519397,2010-12-16,67,0.0
USC00519397,2010-12-17,66,0.0
USC00519397,2010-12-18,69,0.0
USC00519397,2010-12-19,71,1.4
USC00519397,2010-12-23,70,0.0
USC00519397,2010-12-24,70,0.0
USC00519397,2010-12-26,74,0.0
USC00519397,2010-12-27,74,0.13
USC00519397,2010-12-28,71,0.55
USC00519397,2010-12-29,75,0.06
USC00519397,2010-12-30,75,0.01
USC00519397,2010-12-31,72,0.0
USC00519397,2011-01-01,69,0.0
USC00519397,2011-01-02,72,0.0
USC00519397,2011-01-03,74,0.0
USC00519397,2011-01-04,73,0.0
USC00519397,2011-01-05,64,0.0
USC00519397,2011-01-06,65,0.01
USC00519397,2011-01-07,68,0.0
USC00519397,2011-01-08,62,0.0
USC00519397,2011-01-09,58,0.0
USC00519397,2011-01-10,73,0.0
USC00519397,2011-01-11,60,0.09
USC00519397,2011-01-13,68,0.0
USC00519397,2011-01-14,76,0.03
USC00519397,2011-01-15,68,0.0
USC00519397,2011-01-16,66,0.0
USC00519397,2011-01-17,64,0.0
USC00519397,2011-01-18,64,0.0
USC00519397,2011-01-19,64,0.03
USC00519397,2011-01-20,76,0.0
USC00519397,2011-01-21,75,0.0
USC00519397,2011-01-22,68,0.0
USC00519397,2011-01-23,68,0.0
USC00519397,2011-01-24,72,0.0
USC00519397,2011-01-25,63,0.0
USC00519397,2011-01-27,68,0.0
USC00519397,2011-01-28,75,0.0
USC00519397,2011-01-29,65,0.0
USC00519397,2011-01-30,64,0.0
USC00519397,2011-01-31,68,0.22
USC00519397,2011-02-01,68,0.0
USC00519397,2011-02-02,66,0.0
USC00519397,2011-02-03,67,0.0
USC00519397,2011-02-04,64,0.0
USC00519397,2011-02-05,65,0.0
USC00519397,2011-02-06,75,0.0
USC00519397,2011-02-07,68,1.29
USC00519397,2011-02-08,71,1.3
USC00519397,2011-02-09,71,0.0
USC00519397,2011-02-10,71,0.29
USC00519397,2011-02-12,68,0.0
USC00519397,2011-02-13,68,0.0
USC00519397,2011-02-14,72,0.04
USC00519397,2011-02-15,70,0.05
USC00519397,2011-02-16,74,0.0
USC00519397,2011-02-19,67,0.0
USC00519397,2011-02-20,71,1.72
USC00519397,2011-02-21,71,0.0
USC00519397,2011-02-22,71,0.82
USC00519397,2011-02-23,74,0.0
USC00519397,2011-02-24,68,0.2
USC00519397,2011-02-25,71,0.0
USC00519397,2011-02-26,69,0.0
USC00519397,2011-02-27,69,0.0
USC00519397,2011-02-28,68,0.0
USC00519397,2011-03-01,68,0.1
USC00519397,2011-03-02,72,0.0
USC00519397,2011-03-03,74,0.0
USC00519397,2011-03-04,72,0.88
USC00519397,2011-03-05,69,0.4
USC00519397,2011-03-06,70,0.03
USC00519397,2011-03-08,72,0.0
USC00519397,2011-03-09,71,0.2
USC00519397,2011-03-10,71,0.15
USC00519397,2011-03-12,72,0.0
USC00519397,2011-03-13,70,0.0
USC00519397,2011-03-14,71,0.0
USC00519397,2011-03-16,76,0.0
USC00519397,2011-03-17,73,0.01
USC00519397,2011-03-18,74,0.05
USC00519397,2011-03-19,74,0.01
USC00519397,2011-03-20,74,0.02
USC00519397,2011-03-21,74,0.0
USC00519397,2011-03-22,74,0.02
USC00519397,2011-03-23,74,0.0
USC00519397,2011-03-24,73,0.06
USC00519397,2011-03-25,74,0.0
USC00519397,2011-03-26,74,0.0
USC00519397,2011-03-27,73,0.0
USC00519397,2011-03-28,74,0.04
USC00519397,2011-03-30,75,0.0
USC00519397,2011-03-31,74,0.0
USC00519397,2011-04-01,74,0.05
USC00519397,2011-04-02,75,0.04
USC00519397,2011-04-03,74,0.0
USC00519397,2011-04-04,75,0.0
USC00519397,2011-04-05,74,0.0
USC00519397,2011-04-06,70,0.09
USC00519397,2011-04-07,70,1.11
USC00519397,2011-04-08,70,0.36
USC00519397,2011-04-09,76,0.02
USC00519397,2011-04-10,76,0.0
USC00519397,2011-04-11,76,0.0
USC00519397,2011-04-12,76,0.0
USC00519397,2011-04-13,70,0.0
USC00519397,2011-04-15,77,0.0
USC00519397,2011-04-16,74,0.12
USC00519397,2011-04-17,73,0.0
USC00519397,2011-04-18,76,0.0
USC00519397,2011-04-19,76,0.0
USC00519397,2011-04-20,74,0.0
USC00519397,2011-04-21,77,0.0
USC00519397,2011-04-22,77,0.0
USC00519397,2011-04-23,78,0.0
USC00519397,2011-04-24,77,0.0
USC00519397,2011-04-25,77,0.0
USC00519397,2011-04-26,76,0.0
USC00519397,2011-04-27,77,0.0
USC00519397,2011-04-29,78,0.0
USC00519397,2011-04-30,76,0.04
USC00519397,2011-05-01,77,0.0
USC00519397,2011-05-02,77,0.0
USC00519397,2011-05-03,70,2.1
USC00519397,2011-05-04,76,0.02
USC00519397,2011-05-05,74,0.12
USC00519397,2011-05-06,72,0.12
USC00519397,2011-05-07,74,0.55
USC00519397,2011-05-08,73,0.55
USC00519397,2011-05-09,75,0.02
USC00519397,2011-05-10,75,0.11
USC00519397,2011-05-11,75,0.1
USC00519397,2011-05-12,76,0.0
USC00519397,2011-05-13,77,0.0
USC00519397,2011-05-14,78,0.0
USC00519397,2011-05-15,77,0.0
USC00519397,2011-05-16,78,0.0
USC00519397,2011-05-17,77,0.0
USC00519397,2011-05-18,76,0.0
USC00519397,2011-05-19,77,0.01
USC00519397,2011-05-20,79,0.0
USC00519397,2011-05-21,77,0.0
USC00519397,2011-05-22,74,0.06
USC00519397,2011-05-23,78,0.02
USC00519397,2011-05-24,77,0.0
USC00519397,2011-05-25,79,0.0
USC00519397,2011-05-26,78,0.0
USC00519397,2011-05-27,78,0.0
USC00519397,2011-05-28,77,0.0
USC00519397,2011-05-29,78,0.0
USC00519397,2011-05-30,78,0.0
USC00519397,2011-05-31,73,0.05
USC00519397,2011-06-01,77,0.07
USC00519397,2011-06-02,78,0.0
USC00519397,2011-06-03,73,0.56
USC00519397,2011-06-04,70,0.89
USC00519397,2011-06-05,76,0.0
USC00519397,2011-06-06,77,0.0
USC00519397,2011-06-07,77,0.0
USC00519397,2011-06-08,77,0.03
USC00519397,2011-06-09,77,0.01
USC00519397,2011-06-10,78,0.0
USC00519397,2011-06-11,77,0.0
USC00519397,2011-06-12,77,0.0
USC00519397,2011-06-13,78,0.0
USC00519397,2011-06-14,78,0.0
USC00519397,2011-06-15,77,0.0
USC00519397,2011-06-17,78,0.0
USC00519397,2011-06-18,78,0.0
USC00519397,2011-06-19,75,0.05
USC00519397,2011-06-20,76,0.06
USC00519397,2011-06-21,76,0.07
USC00519397,2011-06-24,77,0.0
USC00519397,2011-06-25,78,0.0
USC00519397,2011-06-26,76,0.0
USC00519397,2011-06-27,77,0.01
USC00519397,2011-06-28,75,0.01
USC00519397,2011-06-29,77,0.0
USC00519397,2011-07-01,77,0.05
USC00519397,2011-07-02,78,0.02
USC00519397,2011-07-03,78,0.0
USC00519397,2011-07-04,78,0.0
USC00519397,2011-07-05,78,0.01
USC00519397,2011-07-06,76,0.01
USC00519397,2011-07-07,76,0.01
USC00519397,2011-07-08,77,0.0
USC00519397,2011-07-09,77,0.03
USC00519397,2011-07-10,77,0.02
USC00519397,2011-07-11,78,0.0
USC00519397,2011-07-12,77,0.0
USC00519397,2011-07-13,73,0.15
USC00519397,2011-07-14,77,0.0
USC00519397,2011-07-15,79,0.0
USC00519397,2011-07-16,78,0.0
USC00519397,2011-07-17,77,0.04
USC00519397,2011-07-18,78,0.0
USC00519397,2011-07-19,78,0.0
USC00519397,2011-07-20,76,0.0
USC00519397,2011-07-21,77,0.03
USC00519397,2011-07-23,78,0.0
USC00519397,2011-07-24,77,0.0
USC00519397,2011-07-25,78,0.0
USC00519397,2011-07-26,78,0.0
USC00519397,2011-07-27,77,0.04
USC00519397,2011-07-28,77,0.09
USC00519397,2011-07-29,78,0.04
USC00519397,2011-07-30,80,0.12
USC00519397,2011-07-31,77,0.0
USC00519397,2011-08-01,78,0.0
USC00519397,2011-08-02,77,0.0
USC00519397,2011-08-03,78,0.0
USC00519397,2011-08-04,76,0.02
USC00519397,2011-08-05,78,0.03
USC00519397,2011-08-06,77,0.01
USC00519397,2011-08-07,78,0.0
USC00519397,2011-08-08,78,0.0
USC00519397,2011-08-09,79,0.0
USC00519397,2011-08-11,78,0.0
USC00519397,2011-08-12,78,0.0
USC00519397,2011-08-13,76,0.0
USC00519397,2011-08-14,78,0.0
USC00519397,2011-08-15,77,0.0
USC00519397,2011-08-16,79,0.0
USC00519397,2011-08-17,77,0.02
USC00519397,2011-08-18,77,0.0
USC00519397,2011-08-19,78,0.0
USC00519397,2011-08-20,77,0.07
USC00519397,2011-08-21,77,0.0
USC00519397,2011-08-22,78,0.0
USC00519397,2011-08-23,78,0.0
USC00519397,2011-08-24,79,0.0
USC00519397,2011-08-25,78,0.0
USC00519397,2011-08-26,78,0.0
USC00519397,2011-08-27,79,0.0
USC00519397,2011-08-28,76,0.05
USC00519397,2011-08-29,76,0.1
USC00519397,2011-08-30,78,0.02
USC00519397,2011-08-31,79,0.0
USC00519397,2011-09-02,79,0.0
USC00519397,2011-09-03,78,0.0
USC00519397,2011-09-04,77,0.03
USC00519397,2011-09-05,77,0.0
USC00519397,2011-09-06,73,0.0
USC00519397,2011-09-07,73,0.0
USC00519397,2011-09-08,77,0.0
USC00519397,2011-09-09,79,0.0
USC00519397,2011-09-10,77,0.0
USC00519397,2011-09-11,77,0.0
USC00519397,2011-09-12,85,0.0
USC00519397,2011-09-13,77,0.01
USC00519397,2011-09-14,76,0.0
USC00519397,2011-09-15,79,0.0
USC00519397,2011-09-16,79,0.0
USC00519397,2011-09-17,77,0.02
USC00519397,2011-09-18,77,0.04
USC00519397,2011-09-19,82,0.0
USC00519397,2011-09-20,80,0.0
USC00519397,2011-09-21,79,0.0
USC00519397,2011-09-22,78,0.03
USC00519397,2011-09-23,76,0.0
USC00519397,2011-09-24,77,0.0
USC00519397,2011-09-25,74,0.0
USC00519397,2011-09-26,77,0.0
USC00519397,2011-09-27,78,0.0
USC00519397,2011-09-28,77,0.0
USC00519397,2011-10-01,78,0.0
USC00519397,2011-10-02,78,0.0
USC00519397,2011-10-03,80,0.0
USC00519397,2011-10-05,79,0.0
USC00519397,2011-10-06,75,0.0
USC00519397,2011-10-07,78,0.03
USC00519397,2011-10-08,79,0.0
USC00519397,2011-10-09,78,0.0
USC00519397,2011-10-10,77,0.02
USC00519397,2011-10-11,78,0.03
USC00519397,2011-10-12,77,0.0
USC00519397,2011-10-13,77,0.0
USC00519397,2011-10-14,78,0.03
USC00519397,2011-10-15,77,0.02
USC00519397,2011-10-16,76,0.0
USC00519397,2011-10-17,77,0.02
USC00519397,2011-10-18,76,0.01
USC00519397,2011-10-19,74,0.0
USC00519397,2011-10-20,78,0.0
USC00519397,2011-10-21,76,0.0
USC00519397,2011-10-22,77,0.0
USC00519397,2011-10-23,75,0.0
USC00519397,2011-10-24,74,0.14
USC00519397,2011-10-25,77,1.6
USC00519397,2011-10-26,76,0.01
USC00519397,2011-10-27,77,0.0
USC00519397,2011-10-28,73,0.05
USC00519397,2011-10-29,76,0.01
USC00519397,2011-10-30,75,0.0
USC00519397,2011-10-31,76,0.03
USC00519397,2011-11-01,71,0.58
USC00519397,2011-11-02,77,0.28
USC00519397,2011-11-03,77,0.02
USC00519397,2011-11-04,75,0.01
USC00519397,2011-11-05,76,0.0
USC00519397,2011-11-06,77,0.0
USC00519397,2011-11-07,78,0.0
USC00519397,2011-11-08,76,0.0
USC00519397,2011-11-09,76,0.02
USC00519397,2011-11-10,76,0.0
USC00519397,2011-11-11,74,0.05
USC00519397,2011-11-12,75,0.0
USC00519397,2011-11-13,76,0.0
USC00519397,2011-11-14,73,0.0
USC00519397,2011-11-15,71,0.0
USC00519397,2011-11-16,75,0.0
USC00519397,2011-11-17,76,0.0
USC00519397,2011-11-18,78,0.0
USC00519397,2011-11-19,76,0.0
USC00519397,2011-11-20,75,0.0
USC00519397,2011-11-21,76,0.01
USC00519397,2011-11-22,73,0.02
USC00519397,2011-11-23,75,0.01
USC00519397,2011-11-24,73,0.0
USC00519397,2011-11-25,70,0.01
USC00519397,2011-11-26,75,0.02
USC00519397,2011-11-27,73,0.07
USC00519397,2011-11-28,72,0.0
USC00519397,2011-11-29,72,0.0
USC00519397,2011-11-30,66,0.02
USC00519397,2011-12-01,69,0.03
USC00519397,2011-12-02,68,0.08
USC00519397,2011-12-03,73,0.0
USC00519397,2011-12-04,74,0.0
USC00519397,2011-12-05,73,0.0
USC00519397,2011-12-06,73,0.0
USC00519397,2011-12-07,73,0.0
USC00519397,2011-12-08,73,0.0
USC00519397,2011-12-09,71,0.13
USC00519397,2011-12-10,73,0.07
USC00519397,2011-12-11,73,0.07
USC00519397,2011-12-12,77,0.08
USC00519397,2011-12-13,72,0.4
USC00519397,2011-12-14,71,0.7
USC00519397,2011-12-15,73,0.0
USC00519397,2011-12-16,70,0.01
USC00519397,2011-12-17,73,0.07
USC00519397,2011-12-18,69,0.02
USC00519397,2011-12-19,74,0.15
USC00519397,2011-12-20,72,0.02
USC00519397,2011-12-21,71,0.18
USC00519397,2011-12-22,72,0.03
USC00519397,2011-12-23,72,0.04
USC00519397,2011-12-24,70,0.1
USC00519397,2011-12-25,73,0.03
USC00519397,2011-12-26,73,0.0
USC00519397,2011-12-27,72,0.0
USC00519397,2011-12-28,73,0.0
USC00519397,2011-12-29,73,0.0
USC00519397,2011-12-30,72,0.0
USC00519397,2011-12-31,63,0.01
USC00519397,2012-01-01,63,0.0
USC00519397,2012-01-02,66,0.0
USC00519397,2012-01-03,66,0.0
USC00519397,2012-01-04,74,0.0
USC00519397,2012-01-06,71,0.0
USC00519397,2012-01-07,65,0.0
USC00519397,2012-01-08,61,0.0
USC00519397,2012-01-10,71,0.0
USC00519397,2012-01-11,65,0.0
USC00519397,2012-01-12,66,0.0
USC00519397,2012-01-14,61,0.0
USC00519397,2012-01-15,74,0.0
USC00519397,2012-01-16,75,0.04
USC00519397,2012-01-17,75,0.0
USC00519397,2012-01-18,75,0.0
USC00519397,2012-01-19,68,0.02
USC00519397,2012-01-20,73,0.0
USC00519397,2012-01-21,74,0.0
USC00519397,2012-01-22,74,0.0
USC00519397,2012-01-23,67,0.0
USC00519397,2012-01-24,66,0.0
USC00519397,2012-01-25,69,0.0
USC00519397,2012-01-26,74,0.0
USC00519397,2012-01-27,68,0.04
USC00519397,2012-01-28,72,0.03
USC00519397,2012-01-29,72,1.03
USC00519397,2012-01-30,71,0.01
USC00519397,2012-01-31,71,0.0
USC00519397,2012-02-01,66,0.0
USC00519397,2012-02-02,72,0.0
USC00519397,2012-02-03,63,0.0
USC00519397,2012-02-04,65,0.0
USC00519397,2012-02-05,69,0.0
USC00519397,2012-02-06,71,0.0
USC00519397,2012-02-07,71,0.37
USC00519397,2012-02-08,65,0.28
USC00519397,2012-02-09,61,0.01
USC00519397,2012-02-10,71,0.0
USC00519397,2012-02-11,72,0.0
USC00519397,2012-02-12,72,0.0
USC00519397,2012-02-13,72,0.04
USC00519397,2012-02-14,65,0.01
USC00519397,2012-02-15,66,0.0
USC00519397,2012-02-16,73,0.0
USC00519397,2012-02-17,73,0.0
USC00519397,2012-02-18,71,0.04
USC00519397,2012-02-19,72,0.01
USC00519397,2012-02-20,73,0.0
USC00519397,2012-02-21,72,0.0
USC00519397,2012-02-22,73,0.0
USC00519397,2012-02-23,77,0.0
USC00519397,2012-02-24,67,0.0
USC00519397,2012-02-25,69,0.0
USC00519397,2012-02-26,73,0.05
USC00519397,2012-02-27,72,0.06
USC00519397,2012-02-28,73,0.0
USC00519397,2012-02-29,74,0.0
USC00519397,2012-03-01,73,0.06
USC00519397,2012-03-02,67,0.0
USC00519397,2012-03-03,71,0.03
USC00519397,2012-03-04,72,0.01
